pet_name,pet_gender,owner_name,vet_name,feeding_schedule,pet_type,breedID,color,pet_id
Olimpia,male,Olimpia Immings,Olimpia Salamon,once a day,lab grown,01217728-c621-4039-9cbc-e8177e5d63f1,Red,7d91017e-b06c-419c-8bd0-fef3a71b7ea1
Cos,female,Cos Szymanowski,Cos Berget,,lab born,0149bef1-f297-4516-b53b-9f33f0935af5,Fuscia,5a65b675-4dcb-436b-a750-109a50db43e1
Archambault,female,Archambault Cowterd,Archambault Sargent,,found,0197e37c-01a0-42c1-a36c-94b35062f2ce,Goldenrod,d6519f6b-63fb-4598-a146-1fba0bed7ffa
Shantee,male,Shantee Chisnell,Shantee Shortland,,lab born,01aeaa31-3d0f-4eef-90d4-69e18d4c5458,Pink,47b83d25-63e3-490d-807b-f3b9a002b077
Nicholas,female,Nicholas Hriinchenko,,every 4 hours,lab grown,01cb9c75-d92c-4053-b05e-4c75a8b29678,Violet,37244bb3-3a94-4aaa-8932-07f44e64ef6c
Juanita,male,Juanita Bountiff,Juanita Krochmann,once a day,lab grown,023aa4c6-1df2-4c02-a70b-0d84413d4d13,Puce,40e4cfec-9403-404b-a6c1-e2964c86231d
Hillary,male,Hillary Poyntz,Hillary Thirtle,twice a day,lab born,02e9f0d4-9bcd-4df7-988b-08f7799e31a3,Orange,0889ae49-3941-43e7-a651-7325387f4037
Toddie,male,Toddie Fitzroy,Toddie McAviy,every 4 hours,lab born,0311c50e-61ca-4a5f-aaa4-339b022acb5c,Puce,9d937382-260c-4edb-ac36-b2a76f2b9f04
Elia,female,Elia Leuty,Elia Lettington,every 4 hours,found,034fb056-2e83-409d-9ced-9afbd86eb022,Fuscia,64f79710-bf77-4595-a2c5-38508ebc2227
Hammad,female,Hammad Cashmore,,twice a day,found,038dcdc9-2f28-4d33-8db9-77b0b20c5dbf,Indigo,cfa3063a-cdd0-4ba6-b3dd-0ccac000938b
Wynn,female,Wynn Iacovides,Wynn Beadles,every 4 hours,,03c3c882-58a8-40ed-9f9d-581e16ecf8ba,Violet,d9c39913-08a9-4357-ab4e-61da057fe4e0
Trudy,female,Trudy Jozaitis,,once a day,lab grown,03ebbc5f-77df-4b4e-9f95-c7210ea1a8c7,Pink,d04aec18-c913-4955-b470-525805297887
Debee,female,Debee Toderini,Debee Jacqueminot,twice a day,stolen,048a9ecb-7fd9-49e8-9c2c-fb29a648d33f,Goldenrod,6dba7e9c-d3ed-48e0-964e-773e0d493044
Montague,female,Montague Naisey,Montague Peacham,twice a day,lab grown,05b2492c-974c-44ca-b597-b356e666567e,Crimson,6d2f8254-5e00-4794-a6b4-fa973a6c5fb1
Garth,female,,,every 4 hours,stolen,05b62cbd-0560-4f8a-8693-56383fa11cef,Indigo,efff82e8-6a7c-4a5e-92ec-fe8c6d7c22bb
Avery,female,Avery Creffeild,Avery Innett,twice a day,lab grown,065f2c41-a581-4eff-824d-183bf0f9f8be,Puce,40309003-7ff4-49fb-a1db-17e74659ec91
Jonell,female,Jonell Shapera,Jonell Blanc,twice a day,lab born,06c1ffb5-6302-4190-a975-8bbe7cc0fa4e,Fuscia,1c98ee34-db57-4286-a812-4d8e0866024c
Yehudit,female,,,every 4 hours,stolen,06c2fb58-2745-42a5-b28a-7b5682469128,Khaki,3c78d658-8844-4607-8957-020627193108
Archer,female,Archer Seller,Archer Wellard,twice a day,found,06dbf694-26ea-429c-ad19-fe2c1a95b975,Pink,7033c018-25e9-4250-b935-613ce8f05d0a
Sibilla,male,Sibilla Slaney,,every 4 hours,stolen,0733c735-4a44-4430-84bc-271e70c9e6a2,Blue,013bf251-e557-4e28-acf7-d64725a223fb
